sotu,isZoonotic,maxTaxonDistance,maxDiversity,numUniqueTaxOrders
u197266,True,0,0,0
u251755,True,0,0,0
u488449,True,0,0,0
u197235,True,0,0,0
u25022,True,23.0,1.9882633646595178,2
u130032,True,0,0,0
u113609,True,0,0,0
u955792,True,0,0,0
u632416,True,0,0,1
u703398,True,0,0,0
u1070879,True,0,0,0
u16688,True,0,0,0
u12737,True,0,0,0
u63187,True,21.0,1.981721842176049,2
u23964,True,11.0,1.8417913294768142,2
u218034,True,0,0,1
u181959,True,0,0,0
u123944,True,13.0,2.562586368698529,3
u710664,True,0,0,0
u884170,True,0,0,0
u903542,True,0,0,0
u772614,True,0,0,0
u879538,True,0,0,0
u242765,True,0,0,1
u216153,True,0,0,0
u25666,True,0,0,0
u906969,True,0,0,1
u477937,True,0,0,0
u557424,True,0,0,0
u639572,True,0,0,0
u604911,True,0,0,0
u291146,True,24.0,3.3455741511550947,4
u547955,True,0,0,0
u127846,True,0,0,0
u181218,True,0,0,0
u694014,True,12.0,1.8713984759669997,2
u1052321,True,0,0,0
u218174,True,0,0,0
u833002,True,0,0,0
u867966,True,0,0,0
u739669,True,0,0,0
u747745,True,0,0,0
u133261,True,0,0,0
u811886,True,0,0,0
u950481,True,0,0,0
u565422,True,0,0,0
u165183,True,0,0,0
u54781,True,0,0,1
u126467,True,9.0,2.238814194239266,3
u937773,True,0,0,0
u910073,True,0,0,0
u97022,True,0,0,0
u840738,True,0,0,0
u776492,True,0,0,0
u509861,True,0,0,0
u296287,True,0,0,0
u191609,True,0,0,0
u1015003,True,0,0,0
u176060,True,0,0,0
u451195,True,0,0,0
u230477,True,0,0,1
u523488,True,0,0,0
u185108,True,0,0,0
u127577,True,0,0,0
u82504,True,0,0,0
u590865,True,0,0,0
u184946,True,0,0,1
u55400,True,0,0,0
u499655,True,0,0,0
u726993,True,0,0,0
u465710,True,0,0,0
u820616,True,0,0,0
u131402,True,0,0,1
u166714,True,23.0,1.9882633646595178,2
u179725,True,0,0,0
u155578,True,0,0,0
u71199,True,12.0,1.8713984759669997,2
u104103,True,0,0,0
u835542,True,0,0,0
u676232,True,0,0,0
u644637,True,0,0,0
u575788,True,0,0,0
u351616,True,0,0,0
u443602,True,0,0,0
u318910,True,0,0,0
u124810,True,0,0,0
u983706,True,0,0,0
u106572,True,0,0,0
u864352,True,0,0,0
u82622,True,0,0,0
