appId,triangleCount
u648086,0
u464317,0
u13498,336
u992242,0
u888122,0
u817475,0
u389160,0
u948716,0
u134524,101
u175903,110
u237288,44
u261906,101
u127849,53
u127057,157
u683515,0
u54306,176
u2539,0
u17499,34
u8719,143
u258,77
u38468,7
u5190,6
u19626,5
u7256,0
u4687,52
u2449,52
u198452,52
u198969,52
u618960,0
u655859,0
u11178,45
u792303,0
u303211,0
u174487,52
u18720,45
u491643,0
u15152,45
u28250,52
u285409,52
u266165,52
u823709,0
u760703,0
u18825,28
u973577,0
u5029,437
u592585,0
u5475,382
u814919,0
u266312,0
u3243,0
u98207,0
u45689,0
u498697,0
u719641,0
u16775,71
u137647,0
u151385,65
u3166,47
u7112,19
u932721,0
u2133,1
u998385,0
u2740,5
u1058387,0
u430772,0
u972008,0
u36766,5
u8055,5
u29403,3
u29610,11
u522875,0
u37877,10
u972337,0
u3250,9
u4497,3
u916774,0
u686595,0
u25189,0
u13039,3
u15499,1
u754,0
u23519,241
u781695,0
u718542,0
u687848,0
u708769,0
u428681,0
u582294,0
u874340,0
u896319,0
u851981,0
u1013662,0
u1054557,0
u24121,11
u17107,6
u550190,0
u7892,15
u492552,0
u118871,0
u37868,11
u232264,5
u501640,0
u189209,5
u24285,18
u327480,0
u655660,0
u416424,0
u877453,0
u916935,0
u1031306,0
u556668,0
u230589,0
u460607,0
u191472,3
u259922,0
u1051646,0
u17125,12
