nodeId,appId,palmId,numPalmprints
8132309,u265050,u265050,1
8133728,u266165,u266165,1
8133949,u266312,u266312,1
8134454,u266872,u266872,2
8138031,u269474,u269474,2
8143673,u273894,u273894,1
8144979,u275103,u275103,1
8146966,u276767,u276767,2
8148466,u278017,u278017,1
8149435,u278844,u278844,3
8155853,u283774,u283774,1
8156044,u283925,u283925,3
8158062,u285409,u285409,6
8159153,u286260,u286260,1
8159777,u286560,u286560,1
8160805,u287350,u287350,1
8160965,u287478,u287478,1
8166437,u291146,u291146,40
8167443,u291421,u291421,1
8170199,u292569,u292569,3
8170908,u293151,u293151,1
8174009,u296287,u296287,1
8182258,u303211,u303211,57
8186817,u307751,u307751,1
8197117,u318910,u318910,1
8199329,u321036,u321036,1
8205257,u327480,u327480,1
8212523,u334369,u334369,1
8217702,u340505,u340505,1
8221325,u345572,u345572,1
8224720,u350772,u350772,1
8225203,u351616,u351616,3
8229143,u357352,u357352,1
8231007,u360560,u360560,1
8242288,u368715,u368715,1
8245298,u372154,u372154,1
8253847,u383314,u383314,3
8253967,u383457,u383457,1
8257780,u387312,u387312,1
8259305,u388976,u388976,3
8259420,u389160,u389160,1
8259525,u389350,u389350,1
8268578,u400723,u400723,2
8269324,u401579,u401579,1
8274031,u406775,u406775,1
8279650,u413034,u413034,1
8282845,u416424,u416424,2
8283756,u417481,u417481,1
8285679,u419816,u419816,1
8292047,u428681,u428681,1
8293539,u430772,u430772,1
8298487,u436299,u436299,1
8301275,u439890,u439890,2
8304036,u443602,u443602,1
8304511,u444385,u444385,1
8309303,u451195,u451195,1
8310184,u452313,u452313,2
8312273,u454830,u454830,1
8317829,u460607,u460607,1
8321177,u464317,u464317,2
8322270,u465710,u465710,1
8322785,u466536,u466536,1
8327057,u473002,u473002,1
8328750,u475080,u475080,2
8330823,u477937,u477937,1
8333247,u481710,u481710,1
8334165,u482954,u482954,2
8334583,u483645,u483645,1
8335046,u484236,u484236,1
8335752,u485149,u485149,1
8336485,u486081,u486081,2
8336647,u486314,u486314,2
8337986,u488146,u488146,1
8338204,u488449,u488449,2
8339332,u489994,u489994,1
8340636,u491643,u491643,4
8341388,u492552,u492552,1
8344947,u497896,u497896,1
8345687,u498697,u498697,1
8346365,u499655,u499655,1
8347699,u501325,u501325,7
8347946,u501640,u501640,1
8349498,u503605,u503605,1
8350646,u505053,u505053,1
8353633,u508699,u508699,2
8354592,u509861,u509861,1
8358393,u514679,u514679,1
8359586,u516043,u516043,1
8359996,u516495,u516495,2
8366061,u522875,u522875,1
8366646,u523488,u523488,1
8385281,u547455,u547455,1
8385574,u547944,u547944,1
8385577,u547955,u547955,1
8386824,u550190,u550190,1
8389928,u555080,u555080,1
8391007,u556668,u556668,2
8391503,u557424,u557424,1
8392963,u559622,u559622,1
8394081,u561267,u561267,1
8394806,u562401,u562401,1
8396895,u565405,u565405,1
8396904,u565422,u565422,3
8399230,u569572,u569572,1
8399447,u569955,u569955,1
8399669,u570343,u570343,1
8401776,u574468,u574468,1
8402443,u575788,u575788,1
8406038,u582294,u582294,12
8406964,u583895,u583895,2
8410786,u590865,u590865,1
8411478,u592303,u592303,1
8411582,u592585,u592585,1
8412861,u594738,u594738,1
8417707,u604911,u604911,1
8422858,u613645,u613645,1
8423309,u614350,u614350,1
8425346,u617110,u617110,1
8426755,u618960,u618960,1
8429244,u622542,u622542,1
8430056,u623416,u623416,1
8430119,u623499,u623499,2
8432642,u626280,u626280,2
8434943,u628596,u628596,23
8438285,u632416,u632416,2
8441263,u637708,u637708,1
8442248,u639572,u639572,2
8444960,u644637,u644637,1
8445671,u646070,u646070,1
8446052,u646907,u646907,1
8446532,u648086,u648086,3
8446891,u648909,u648909,1
8447076,u649358,u649358,1
8449882,u653854,u653854,8
8450617,u654834,u654834,3
8451253,u655660,u655660,1
8451397,u655859,u655859,1
8451552,u656057,u656057,2
8451935,u656582,u656582,1
8452814,u658409,u658409,1
8452948,u658563,u658563,1
8453445,u659542,u659542,1
8455988,u663748,u663748,1
8457044,u665602,u665602,1
8459001,u670412,u670412,1
8461538,u676232,u676232,1
