sotu,isZoonotic,maxTaxonDistance,maxDiversity,numUniqueTaxOrders
u29609,True,0,0,1
u1801,True,0,0,0
u38509,True,4.0,1.4188422247446084,2
u405,True,37.0,4.094366368558335,5
u848819,True,0,0,0
u93518,True,0,0,0
u219517,True,0,0,0
u1073759,True,0,0,0
u8613,True,36.0,2.9952983173248526,3
u856126,True,42.0,7.205042607745175,11
u6845,True,0,0,0
u770665,False,0,0,0
u21558,False,0,0,0
u14790,False,0,0,0
u840961,False,0,0,0
u38034,False,26.0,1.9939735846247937,2
u4011,False,0,0,1
u239287,False,42.0,11.395788337422037,18
u99531,False,42.0,12.143418956301154,21
u17854,False,4.0,1.4188422247446084,2
u3171,False,0,0,1
u23818,True,0,0,1
u269474,True,0,0,0
u24052,True,4.0,1.4188422247446084,2
u1831,False,30.0,4.050314131481373,6
u34772,False,0,0,0
u832933,False,0,0,0
u915510,False,0,0,1
u6549,True,0,0,1
u1095,True,35.0,6.573837012957615,9
u444385,True,0,0,0
u6173,False,0,0,1
u238213,False,0,0,0
u5172,False,0,0,0
u16791,False,0,0,0
u824,True,34.0,2.965834076139239,3
u26426,True,29.0,3.6100696203743046,4
u485149,True,0,0,0
u10719,True,0,0,0
u547455,True,29.0,1.9969099315511079,2
u555080,True,0,0,0
u656582,True,0,0,0
u486081,True,0,0,0
u12233,True,0,0,1
u283925,True,34.0,1.998986393479383,2
u454830,True,0,0,0
u439890,True,0,0,0
u357352,True,0,0,0
u190602,True,0,0,0
u1059371,True,0,0,1
u1044971,True,0,0,1
u733019,True,0,0,0
u867851,True,0,0,0
u5536,True,0,0,0
u1010160,True,0,0,1
u66257,True,0,0,0
u844052,True,0,0,0
u417481,True,0,0,0
u1022176,True,0,0,0
u855507,True,0,0,0
u1021156,True,0,0,0
u26958,True,0,0,1
u780278,True,0,0,0
u91440,True,0,0,0
u1297,True,35.0,7.798879464438131,15
u340505,True,0,0,0
u501325,True,0,0,1
u569955,True,0,0,0
u497896,True,0,0,0
u383457,True,0,0,0
u90904,True,0,0,0
u565405,True,0,0,0
u25198,True,32.0,1.9984166911762027,2
u899400,True,0,0,0
u710999,True,0,0,0
u1061268,True,0,0,0
