appId,labels,type,taxId,isZoonotic,hostClass,taxRank,communityId,taxOrder,displayLabel,pageRankSotu,louvainCommunityId,communityColorCodes,sourceAppId,hostCount,hostCountNormalized
u7290,"['Palmprint', 'SOTU']",SOTU,28876,True,nan,species,0,Reovirales,Reovirales,0.0,282,0,,,
u388976,"['Palmprint', 'SOTU']",SOTU,54315,False,nan,no rank,30,Amarillovirales,Amarillovirales,0.0,83,8,,,
u483645,"['Palmprint', 'SOTU']",SOTU,54315,False,nan,no rank,0,Amarillovirales,Amarillovirales,1.0,208,0,u483645,6.0,0.0
u3278,"['Palmprint', 'SOTU']",SOTU,54315,False,nan,no rank,0,Amarillovirales,Amarillovirales,2.0,282,0,u3278,8.0,10.0
u17557,"['Palmprint', 'SOTU']",SOTU,40052,True,nan,species,31,Reovirales,Reovirales,0.0,19,9,,,
u3295,"['Palmprint', 'SOTU']",SOTU,40052,True,nan,species,31,Reovirales,Reovirales,0.0,19,9,,,
u21412,"['Palmprint', 'SOTU']",SOTU,40052,True,nan,species,11,Reovirales,Reovirales,0.0,19,0,u21412,2.0,0.0
u13023,"['Palmprint', 'SOTU']",SOTU,40052,True,nan,species,31,Reovirales,Reovirales,1.0,19,9,,,
u17974,"['Palmprint', 'SOTU']",SOTU,40052,True,nan,species,31,Reovirales,Reovirales,0.0,19,9,u17974,1.0,0.0
u955577,"['Palmprint', 'SOTU']",SOTU,40052,True,nan,species,0,Reovirales,Reovirales,0.0,193,0,u955577,2.0,0.0
u17968,"['Palmprint', 'SOTU']",SOTU,35316,False,nan,no rank,1,Bunyavirales,Bunyavirales,1.0,164,1,,,
u20538,"['Palmprint', 'SOTU']",SOTU,35316,False,nan,no rank,1,Bunyavirales,Bunyavirales,0.0,164,1,,,
u126989,"['Palmprint', 'SOTU']",SOTU,11292,True,nan,species,0,Mononegavirales,Mononegavirales,0.0,857,0,u126989,2.0,0.0
u255311,"['Palmprint', 'SOTU']",SOTU,11292,True,nan,species,0,Mononegavirales,Mononegavirales,0.0,857,0,,,
u104919,"['Palmprint', 'SOTU']",SOTU,11292,True,nan,species,0,Mononegavirales,Mononegavirales,0.0,857,0,,,
u165396,"['Palmprint', 'SOTU']",SOTU,11292,True,nan,species,32,Mononegavirales,Mononegavirales,0.0,97,10,,,
u183355,"['Palmprint', 'SOTU']",SOTU,11292,True,nan,species,0,Mononegavirales,Mononegavirales,0.0,857,0,,,
u703,"['Palmprint', 'SOTU']",SOTU,11292,True,nan,species,0,Mononegavirales,Mononegavirales,1.0,193,0,u703,9.0,10.0
u100580,"['Palmprint', 'SOTU']",SOTU,11292,True,nan,species,0,Mononegavirales,Mononegavirales,0.0,857,0,,,
u189592,"['Palmprint', 'SOTU']",SOTU,11292,True,nan,species,0,Mononegavirales,Mononegavirales,1.0,857,0,u189592,1.0,0.0
u646907,"['Palmprint', 'SOTU']",SOTU,11292,True,nan,species,0,Mononegavirales,Mononegavirales,1.0,857,0,u646907,2.0,0.0
u695856,"['Palmprint', 'SOTU']",SOTU,11292,True,nan,species,33,Mononegavirales,Mononegavirales,0.0,103,0,,,
u38985,"['Palmprint', 'SOTU']",SOTU,44158,True,nan,species,0,Martellivirales,Martellivirales,0.0,193,0,u38985,1.0,0.0
u2598,"['Palmprint', 'SOTU']",SOTU,11072,True,nan,species,0,Amarillovirales,Amarillovirales,1.0,208,0,u2598,6.0,0.0
u20904,"['Palmprint', 'SOTU']",SOTU,11047,False,nan,no rank,28,Nidovirales,Nidovirales,0.0,208,6,,,
