appId,labels,type,taxId,isZoonotic,hostClass,taxRank,communityId,taxOrder,displayLabel,pageRankSotu,louvainCommunityId,zoonoticColorCodes,communityColorCodes,sourceAppId,hostCount,hostCountNormalized
u16483,"['Palmprint', 'SOTU']",SOTU,249584,False,nan,species,0,Mononegavirales,u16483,0.1597389635187786,163.0,0,0,u16483,1.0,0.0
u2793,"['Palmprint', 'SOTU']",SOTU,28876,True,nan,species,47,Reovirales,u2793,0.15000000000000002,80.0,1,3,u2793,2.0,0.0
u25569,"['Palmprint', 'SOTU']",SOTU,28876,True,nan,species,47,Reovirales,u25569,0.5191636514874487,80.0,1,3,,,
u23246,"['Palmprint', 'SOTU']",SOTU,28876,True,nan,species,47,Reovirales,u23246,0.27474280618311536,80.0,1,3,,,
u7290,"['Palmprint', 'SOTU']",SOTU,28876,True,nan,species,47,Reovirales,u7290,0.19548156956004759,80.0,1,3,,,
u388976,"['Palmprint', 'SOTU']",SOTU,54315,False,nan,no rank,48,Amarillovirales,u388976,0.15000000000000002,83.0,0,4,,,
u483645,"['Palmprint', 'SOTU']",SOTU,54315,False,nan,no rank,49,Amarillovirales,u483645,0.15000000000000002,84.0,0,5,u483645,5.0,0.0
u3278,"['Palmprint', 'SOTU']",SOTU,54315,False,nan,no rank,50,Amarillovirales,u3278,0.39543750000000005,85.0,0,6,u3278,7.0,0.0
u17557,"['Palmprint', 'SOTU']",SOTU,40052,True,nan,species,51,Reovirales,u17557,0.4333427844443221,5.0,1,7,,,
u3295,"['Palmprint', 'SOTU']",SOTU,40052,True,nan,species,51,Reovirales,u3295,0.32572392564357144,5.0,1,7,,,
u21412,"['Palmprint', 'SOTU']",SOTU,40052,True,nan,species,19,Reovirales,u21412,0.17505569897585213,5.0,1,8,,,
u13023,"['Palmprint', 'SOTU']",SOTU,40052,True,nan,species,51,Reovirales,u13023,0.7970745488079327,5.0,1,7,,,
u17974,"['Palmprint', 'SOTU']",SOTU,40052,True,nan,species,51,Reovirales,u17974,0.21184582593156004,5.0,1,7,u17974,1.0,0.0
u955577,"['Palmprint', 'SOTU']",SOTU,40052,True,nan,species,52,Reovirales,u955577,0.15000000000000002,91.0,1,8,u955577,2.0,0.0
u17968,"['Palmprint', 'SOTU']",SOTU,35316,False,nan,no rank,1,Bunyavirales,u17968,0.5454637082980587,24.0,0,1,,,
u20538,"['Palmprint', 'SOTU']",SOTU,35316,False,nan,no rank,1,Bunyavirales,u20538,0.2924509061909476,24.0,0,1,,,
u126989,"['Palmprint', 'SOTU']",SOTU,11292,True,nan,species,0,Mononegavirales,u126989,0.15000000000000002,163.0,1,0,u126989,2.0,0.0
u255311,"['Palmprint', 'SOTU']",SOTU,11292,True,nan,species,0,Mononegavirales,u255311,0.16131979898249887,163.0,1,0,u255311,1.0,0.0
u104919,"['Palmprint', 'SOTU']",SOTU,11292,True,nan,species,0,Mononegavirales,u104919,0.193077978531696,163.0,1,0,,,
u165396,"['Palmprint', 'SOTU']",SOTU,11292,True,nan,species,53,Mononegavirales,u165396,0.15000000000000002,97.0,1,9,,,
u183355,"['Palmprint', 'SOTU']",SOTU,11292,True,nan,species,0,Mononegavirales,u183355,0.1829825758427688,163.0,1,0,,,
u703,"['Palmprint', 'SOTU']",SOTU,11292,True,nan,species,0,Mononegavirales,u703,0.167051296718654,163.0,1,0,u703,8.0,10.0
u100580,"['Palmprint', 'SOTU']",SOTU,11292,True,nan,species,0,Mononegavirales,u100580,0.1586652201988511,163.0,1,0,,,
u189592,"['Palmprint', 'SOTU']",SOTU,11292,True,nan,species,0,Mononegavirales,u189592,0.5488750334710711,163.0,1,0,u189592,1.0,0.0
u646907,"['Palmprint', 'SOTU']",SOTU,11292,True,nan,species,54,Mononegavirales,u646907,0.15000000000000002,102.0,1,10,u646907,2.0,0.0
u695856,"['Palmprint', 'SOTU']",SOTU,11292,True,nan,species,55,Mononegavirales,u695856,0.15000000000000002,103.0,1,0,,,
u38985,"['Palmprint', 'SOTU']",SOTU,44158,True,nan,species,32,Martellivirales,u38985,0.20583614304388612,193.0,1,10,,,
u2598,"['Palmprint', 'SOTU']",SOTU,11072,True,nan,species,6,Amarillovirales,u2598,0.46109520325596975,208.0,1,6,u2598,5.0,0.0
u20904,"['Palmprint', 'SOTU']",SOTU,11047,False,nan,no rank,56,Nidovirales,u20904,0.21198965268654898,227.0,0,1,,,
u658409,"['Palmprint', 'SOTU']",SOTU,11047,False,nan,no rank,57,Nidovirales,u658409,0.15000000000000002,107.0,0,2,u658409,1.0,0.0
u1300,"['Palmprint', 'SOTU']",SOTU,11587,True,nan,no rank,58,Bunyavirales,u1300,0.1927335164835165,215.0,1,3,,,
u10830,"['Palmprint', 'SOTU']",SOTU,40051,False,nan,species,19,Reovirales,u10830,0.1567135935643112,5.0,0,8,u10830,1.0,0.0
u22180,"['Palmprint', 'SOTU']",SOTU,40051,False,nan,species,19,Reovirales,u22180,0.3099575784258275,5.0,0,8,,,
u17980,"['Palmprint', 'SOTU']",SOTU,40051,False,nan,species,19,Reovirales,u17980,0.4618281388908637,5.0,0,8,,,
u17071,"['Palmprint', 'SOTU']",SOTU,40051,False,nan,species,19,Reovirales,u17071,0.1924365692076389,5.0,0,8,u17071,1.0,0.0
u29006,"['Palmprint', 'SOTU']",SOTU,10366,False,nan,species,59,Herpesvirales,u29006,0.15000000000000002,113.0,0,4,,,
u8807,"['Palmprint', 'SOTU']",SOTU,144752,False,nan,species,11,Bunyavirales,u8807,0.19838141809290957,414.0,0,0,,,
